date,lotto,type
2024-04-01,803481,"prize_1st"
2024-04-01,90,"prize_2digits"
2024-04-01,122,"prize_pre_3digit"
2024-04-01,809,"prize_pre_3digit"
2024-04-01,559,"prize_sub_3digits"
2024-04-01,947,"prize_sub_3digits"
2024-04-01,803480,"nearby_1st"
2024-04-01,803482,"nearby_1st"
2024-04-01,007558,"prize_2nd"
2024-04-01,067061,"prize_2nd"
2024-04-01,538699,"prize_2nd"
2024-04-01,835772,"prize_2nd"
2024-04-01,907492,"prize_2nd"
2024-04-01,242227,"prize_3rd"
2024-04-01,242784,"prize_3rd"
2024-04-01,381276,"prize_3rd"
2024-04-01,606987,"prize_3rd"
2024-04-01,709667,"prize_3rd"
2024-04-01,848355,"prize_3rd"
2024-04-01,851206,"prize_3rd"
2024-04-01,894038,"prize_3rd"
2024-04-01,950406,"prize_3rd"
2024-04-01,996526,"prize_3rd"
2024-04-01,007438,"prize_4th"
2024-04-01,018965,"prize_4th"
2024-04-01,043174,"prize_4th"
2024-04-01,085992,"prize_4th"
2024-04-01,098288,"prize_4th"
2024-04-01,113573,"prize_4th"
2024-04-01,117164,"prize_4th"
2024-04-01,119156,"prize_4th"
2024-04-01,126515,"prize_4th"
2024-04-01,140765,"prize_4th"
2024-04-01,142436,"prize_4th"
2024-04-01,198864,"prize_4th"
2024-04-01,207231,"prize_4th"
2024-04-01,232022,"prize_4th"
2024-04-01,251486,"prize_4th"
2024-04-01,257965,"prize_4th"
2024-04-01,296519,"prize_4th"
2024-04-01,298199,"prize_4th"
2024-04-01,317178,"prize_4th"
2024-04-01,428044,"prize_4th"
2024-04-01,432258,"prize_4th"
2024-04-01,448975,"prize_4th"
2024-04-01,469451,"prize_4th"
2024-04-01,489817,"prize_4th"
2024-04-01,495395,"prize_4th"
2024-04-01,497986,"prize_4th"
2024-04-01,513767,"prize_4th"
2024-04-01,536203,"prize_4th"
2024-04-01,561189,"prize_4th"
2024-04-01,563022,"prize_4th"
2024-04-01,583983,"prize_4th"
2024-04-01,604221,"prize_4th"
2024-04-01,609946,"prize_4th"
2024-04-01,628028,"prize_4th"
2024-04-01,628637,"prize_4th"
2024-04-01,637017,"prize_4th"
2024-04-01,656650,"prize_4th"
2024-04-01,659412,"prize_4th"
2024-04-01,681369,"prize_4th"
2024-04-01,703400,"prize_4th"
2024-04-01,706750,"prize_4th"
2024-04-01,716289,"prize_4th"
2024-04-01,727711,"prize_4th"
2024-04-01,744487,"prize_4th"
2024-04-01,786846,"prize_4th"
2024-04-01,824960,"prize_4th"
2024-04-01,966683,"prize_4th"
2024-04-01,983847,"prize_4th"
2024-04-01,987777,"prize_4th"
2024-04-01,993776,"prize_4th"
2024-04-01,569209,"prize_5th"
2024-04-01,950123,"prize_5th"
2024-04-01,448930,"prize_5th"
2024-04-01,124075,"prize_5th"
2024-04-01,454736,"prize_5th"
2024-04-01,902940,"prize_5th"
2024-04-01,860794,"prize_5th"
2024-04-01,383374,"prize_5th"
2024-04-01,620277,"prize_5th"
2024-04-01,197770,"prize_5th"
2024-04-01,136965,"prize_5th"
2024-04-01,346850,"prize_5th"
2024-04-01,693658,"prize_5th"
2024-04-01,969410,"prize_5th"
2024-04-01,444341,"prize_5th"
2024-04-01,657386,"prize_5th"
2024-04-01,254077,"prize_5th"
2024-04-01,660840,"prize_5th"
2024-04-01,559366,"prize_5th"
2024-04-01,790587,"prize_5th"
2024-04-01,807097,"prize_5th"
2024-04-01,618464,"prize_5th"
2024-04-01,957599,"prize_5th"
2024-04-01,481652,"prize_5th"
2024-04-01,049995,"prize_5th"
2024-04-01,071077,"prize_5th"
2024-04-01,266895,"prize_5th"
2024-04-01,030651,"prize_5th"
2024-04-01,731380,"prize_5th"
2024-04-01,247024,"prize_5th"
2024-04-01,138019,"prize_5th"
2024-04-01,431669,"prize_5th"
2024-04-01,904472,"prize_5th"
2024-04-01,825033,"prize_5th"
2024-04-01,009510,"prize_5th"
2024-04-01,343526,"prize_5th"
2024-04-01,270061,"prize_5th"
2024-04-01,246067,"prize_5th"
2024-04-01,557468,"prize_5th"
2024-04-01,431882,"prize_5th"
2024-04-01,977076,"prize_5th"
2024-04-01,638147,"prize_5th"
2024-04-01,299275,"prize_5th"
2024-04-01,735524,"prize_5th"
2024-04-01,350356,"prize_5th"
2024-04-01,815118,"prize_5th"
2024-04-01,548896,"prize_5th"
2024-04-01,108756,"prize_5th"
2024-04-01,092432,"prize_5th"
2024-04-01,886369,"prize_5th"
2024-04-01,446933,"prize_5th"
2024-04-01,055465,"prize_5th"
2024-04-01,314059,"prize_5th"
2024-04-01,337627,"prize_5th"
2024-04-01,304267,"prize_5th"
2024-04-01,174839,"prize_5th"
2024-04-01,218821,"prize_5th"
2024-04-01,288394,"prize_5th"
2024-04-01,728738,"prize_5th"
2024-04-01,516433,"prize_5th"
2024-04-01,993272,"prize_5th"
2024-04-01,591279,"prize_5th"
2024-04-01,054969,"prize_5th"
2024-04-01,039746,"prize_5th"
2024-04-01,345065,"prize_5th"
2024-04-01,861285,"prize_5th"
2024-04-01,110887,"prize_5th"
2024-04-01,017029,"prize_5th"
2024-04-01,134947,"prize_5th"
2024-04-01,255946,"prize_5th"
2024-04-01,954691,"prize_5th"
2024-04-01,032408,"prize_5th"
2024-04-01,442182,"prize_5th"
2024-04-01,287751,"prize_5th"
2024-04-01,005149,"prize_5th"
2024-04-01,349559,"prize_5th"
2024-04-01,063298,"prize_5th"
2024-04-01,474572,"prize_5th"
2024-04-01,734763,"prize_5th"
2024-04-01,186133,"prize_5th"
2024-04-01,867535,"prize_5th"
2024-04-01,323717,"prize_5th"
2024-04-01,663977,"prize_5th"
2024-04-01,763105,"prize_5th"
2024-04-01,190484,"prize_5th"
2024-04-01,190914,"prize_5th"
2024-04-01,604460,"prize_5th"
2024-04-01,845091,"prize_5th"
2024-04-01,821216,"prize_5th"
2024-04-01,430409,"prize_5th"
2024-04-01,751191,"prize_5th"
2024-04-01,077852,"prize_5th"
2024-04-01,066456,"prize_5th"
2024-04-01,592785,"prize_5th"
2024-04-01,258560,"prize_5th"
2024-04-01,219484,"prize_5th"
2024-04-01,944425,"prize_5th"
2024-04-01,932440,"prize_5th"
2024-04-01,912914,"prize_5th"
2024-04-01,368343,"prize_5th"
2024-03-16,997626,"prize_1st"
2024-03-16,78,"prize_2digits"
2024-03-16,571,"prize_pre_3digit"
2024-03-16,509,"prize_pre_3digit"
2024-03-16,794,"prize_sub_3digits"
2024-03-16,329,"prize_sub_3digits"
2024-03-16,997625,"nearby_1st"
2024-03-16,997627,"nearby_1st"
2024-03-16,158908,"prize_2nd"
2024-03-16,485546,"prize_2nd"
2024-03-16,485642,"prize_2nd"
2024-03-16,631001,"prize_2nd"
2024-03-16,897694,"prize_2nd"
2024-03-16,105303,"prize_3rd"
2024-03-16,238160,"prize_3rd"
2024-03-16,322578,"prize_3rd"
2024-03-16,421546,"prize_3rd"
2024-03-16,620048,"prize_3rd"
2024-03-16,669775,"prize_3rd"
2024-03-16,696050,"prize_3rd"
2024-03-16,826842,"prize_3rd"
2024-03-16,935199,"prize_3rd"
2024-03-16,951264,"prize_3rd"
2024-03-16,000341,"prize_4th"
2024-03-16,082645,"prize_4th"
2024-03-16,236153,"prize_4th"
2024-03-16,343639,"prize_4th"
2024-03-16,411596,"prize_4th"
2024-03-16,465714,"prize_4th"
2024-03-16,582288,"prize_4th"
2024-03-16,657195,"prize_4th"
2024-03-16,758395,"prize_4th"
2024-03-16,830148,"prize_4th"
2024-03-16,018003,"prize_4th"
2024-03-16,118769,"prize_4th"
2024-03-16,246073,"prize_4th"
2024-03-16,363379,"prize_4th"
2024-03-16,429726,"prize_4th"
2024-03-16,511125,"prize_4th"
2024-03-16,611287,"prize_4th"
2024-03-16,667327,"prize_4th"
2024-03-16,766185,"prize_4th"
2024-03-16,835813,"prize_4th"
2024-03-16,024292,"prize_4th"
2024-03-16,186506,"prize_4th"
2024-03-16,258455,"prize_4th"
2024-03-16,369148,"prize_4th"
2024-03-16,431579,"prize_4th"
2024-03-16,531222,"prize_4th"
2024-03-16,621447,"prize_4th"
2024-03-16,701512,"prize_4th"
2024-03-16,766682,"prize_4th"
2024-03-16,836291,"prize_4th"
2024-03-16,051048,"prize_4th"
2024-03-16,194519,"prize_4th"
2024-03-16,281788,"prize_4th"
2024-03-16,381682,"prize_4th"
2024-03-16,434148,"prize_4th"
2024-03-16,535126,"prize_4th"
2024-03-16,636604,"prize_4th"
2024-03-16,716354,"prize_4th"
2024-03-16,788574,"prize_4th"
2024-03-16,941507,"prize_4th"
2024-03-16,069735,"prize_4th"
2024-03-16,229005,"prize_4th"
2024-03-16,323851,"prize_4th"
2024-03-16,382805,"prize_4th"
2024-03-16,447454,"prize_4th"
2024-03-16,542218,"prize_4th"
2024-03-16,656833,"prize_4th"
2024-03-16,720975,"prize_4th"
2024-03-16,791580,"prize_4th"
2024-03-16,990089,"prize_4th"
2024-03-16,001197,"prize_5th"
2024-03-16,086935,"prize_5th"
2024-03-16,212559,"prize_5th"
2024-03-16,270058,"prize_5th"
2024-03-16,366058,"prize_5th"
2024-03-16,478627,"prize_5th"
2024-03-16,574568,"prize_5th"
2024-03-16,712705,"prize_5th"
2024-03-16,790445,"prize_5th"
2024-03-16,926111,"prize_5th"
2024-03-16,007809,"prize_5th"
2024-03-16,089496,"prize_5th"
2024-03-16,229601,"prize_5th"
2024-03-16,281316,"prize_5th"
2024-03-16,372430,"prize_5th"
2024-03-16,483750,"prize_5th"
2024-03-16,580053,"prize_5th"
2024-03-16,726226,"prize_5th"
2024-03-16,793922,"prize_5th"
2024-03-16,929805,"prize_5th"
2024-03-16,022080,"prize_5th"
2024-03-16,111550,"prize_5th"
2024-03-16,241656,"prize_5th"
2024-03-16,291923,"prize_5th"
2024-03-16,372465,"prize_5th"
2024-03-16,494870,"prize_5th"
2024-03-16,613167,"prize_5th"
2024-03-16,733185,"prize_5th"
2024-03-16,803122,"prize_5th"
2024-03-16,937154,"prize_5th"
2024-03-16,061993,"prize_5th"
2024-03-16,123872,"prize_5th"
2024-03-16,250163,"prize_5th"
2024-03-16,305480,"prize_5th"
2024-03-16,382576,"prize_5th"
2024-03-16,505629,"prize_5th"
2024-03-16,615908,"prize_5th"
2024-03-16,754334,"prize_5th"
2024-03-16,827733,"prize_5th"
2024-03-16,941330,"prize_5th"
2024-03-16,067668,"prize_5th"
2024-03-16,124680,"prize_5th"
2024-03-16,253377,"prize_5th"
2024-03-16,321698,"prize_5th"
2024-03-16,384858,"prize_5th"
2024-03-16,512054,"prize_5th"
2024-03-16,638069,"prize_5th"
2024-03-16,763641,"prize_5th"
2024-03-16,834119,"prize_5th"
2024-03-16,942827,"prize_5th"
2024-03-16,072364,"prize_5th"
2024-03-16,132215,"prize_5th"
2024-03-16,256562,"prize_5th"
2024-03-16,341652,"prize_5th"
2024-03-16,392798,"prize_5th"
2024-03-16,528251,"prize_5th"
2024-03-16,640404,"prize_5th"
2024-03-16,765794,"prize_5th"
2024-03-16,843878,"prize_5th"
2024-03-16,943540,"prize_5th"
2024-03-16,074037,"prize_5th"
2024-03-16,152229,"prize_5th"
2024-03-16,257097,"prize_5th"
2024-03-16,346588,"prize_5th"
2024-03-16,405975,"prize_5th"
2024-03-16,530904,"prize_5th"
2024-03-16,668676,"prize_5th"
2024-03-16,769325,"prize_5th"
2024-03-16,894675,"prize_5th"
2024-03-16,950507,"prize_5th"
2024-03-16,074356,"prize_5th"
2024-03-16,155537,"prize_5th"
2024-03-16,259872,"prize_5th"
2024-03-16,349703,"prize_5th"
2024-03-16,414317,"prize_5th"
2024-03-16,538263,"prize_5th"
2024-03-16,703954,"prize_5th"
2024-03-16,777286,"prize_5th"
2024-03-16,897221,"prize_5th"
2024-03-16,952154,"prize_5th"
2024-03-16,075430,"prize_5th"
2024-03-16,197338,"prize_5th"
2024-03-16,263497,"prize_5th"
2024-03-16,351806,"prize_5th"
2024-03-16,421006,"prize_5th"
2024-03-16,554182,"prize_5th"
2024-03-16,706515,"prize_5th"
2024-03-16,779577,"prize_5th"
2024-03-16,898338,"prize_5th"
2024-03-16,979750,"prize_5th"
2024-03-16,077241,"prize_5th"
2024-03-16,208031,"prize_5th"
2024-03-16,269609,"prize_5th"
2024-03-16,359981,"prize_5th"
2024-03-16,427954,"prize_5th"
2024-03-16,570696,"prize_5th"
2024-03-16,711328,"prize_5th"
2024-03-16,779987,"prize_5th"
2024-03-16,912304,"prize_5th"
2024-03-16,981529,"prize_5th"
2024-03-01,253603,"prize_1st"
2024-03-01,79,"prize_2digits"
2024-03-01,900,"prize_pre_3digit"
2024-03-01,975,"prize_pre_3digit"
2024-03-01,382,"prize_sub_3digits"
2024-03-01,703,"prize_sub_3digits"
2024-03-01,253602,"nearby_1st"
2024-03-01,253604,"nearby_1st"
2024-03-01,286578,"prize_2nd"
2024-03-01,329008,"prize_2nd"
2024-03-01,629052,"prize_2nd"
2024-03-01,883154,"prize_2nd"
2024-03-01,916831,"prize_2nd"
2024-03-01,056295,"prize_3rd"
2024-03-01,079194,"prize_3rd"
2024-03-01,125604,"prize_3rd"
2024-03-01,224148,"prize_3rd"
2024-03-01,336549,"prize_3rd"
2024-03-01,544094,"prize_3rd"
2024-03-01,587666,"prize_3rd"
2024-03-01,619022,"prize_3rd"
2024-03-01,696224,"prize_3rd"
2024-03-01,741595,"prize_3rd"
2024-03-01,015041,"prize_4th"
2024-03-01,132070,"prize_4th"
2024-03-01,236305,"prize_4th"
2024-03-01,325196,"prize_4th"
2024-03-01,494061,"prize_4th"
2024-03-01,664413,"prize_4th"
2024-03-01,699980,"prize_4th"
2024-03-01,738961,"prize_4th"
2024-03-01,823052,"prize_4th"
2024-03-01,887183,"prize_4th"
2024-03-01,021044,"prize_4th"
2024-03-01,136841,"prize_4th"
2024-03-01,267511,"prize_4th"
2024-03-01,412827,"prize_4th"
2024-03-01,502624,"prize_4th"
2024-03-01,680314,"prize_4th"
2024-03-01,700897,"prize_4th"
2024-03-01,771338,"prize_4th"
2024-03-01,824219,"prize_4th"
2024-03-01,914093,"prize_4th"
2024-03-01,063059,"prize_4th"
2024-03-01,158994,"prize_4th"
2024-03-01,276157,"prize_4th"
2024-03-01,429032,"prize_4th"
2024-03-01,593091,"prize_4th"
2024-03-01,685438,"prize_4th"
2024-03-01,701004,"prize_4th"
2024-03-01,773783,"prize_4th"
2024-03-01,853578,"prize_4th"
2024-03-01,961273,"prize_4th"
2024-03-01,080910,"prize_4th"
2024-03-01,160137,"prize_4th"
2024-03-01,289497,"prize_4th"
2024-03-01,429117,"prize_4th"
2024-03-01,596850,"prize_4th"
2024-03-01,689167,"prize_4th"
2024-03-01,712724,"prize_4th"
2024-03-01,787548,"prize_4th"
2024-03-01,854476,"prize_4th"
2024-03-01,981305,"prize_4th"
2024-03-01,109194,"prize_4th"
2024-03-01,229788,"prize_4th"
2024-03-01,307823,"prize_4th"
2024-03-01,492492,"prize_4th"
