type,lotto
prize_pre_3digits,000
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_2digits,00
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_pre_3digits,001
prize_sub_3digits,001
prize_sub_3digits,001
prize_2digits,01
prize_2digits,01
prize_2digits,01
prize_2digits,01
prize_sub_3digits,002
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_2digits,02
prize_pre_3digits,003
prize_pre_3digits,003
prize_pre_3digits,003
prize_pre_3digits,003
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_2digits,03
prize_pre_3digits,004
prize_sub_3digits,004
prize_sub_3digits,004
prize_sub_3digits,004
prize_sub_3digits,004
prize_2digits,04
prize_2digits,04
prize_2digits,04
prize_2digits,04
prize_2digits,04
prize_pre_3digits,005
prize_pre_3digits,005
prize_pre_3digits,005
prize_pre_3digits,005
prize_pre_3digits,005
prize_pre_3digits,005
prize_sub_3digits,005
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_2digits,05
prize_pre_3digits,006
prize_pre_3digits,006
prize_pre_3digits,006
prize_pre_3digits,006
prize_pre_3digits,006
prize_pre_3digits,006
prize_sub_3digits,006
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_2digits,06
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_pre_3digits,007
prize_sub_3digits,007
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_2digits,07
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_pre_3digits,008
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_2digits,08
prize_pre_3digits,009
prize_pre_3digits,009
prize_sub_3digits,009
prize_sub_3digits,009
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_2digits,09
prize_sub_3digits,010
prize_sub_3digits,010
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,10
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_2digits,11
prize_pre_3digits,012
prize_pre_3digits,012
prize_pre_3digits,012
prize_pre_3digits,012
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_2digits,12
prize_pre_3digits,013
prize_pre_3digits,013
prize_pre_3digits,013
prize_pre_3digits,013
prize_pre_3digits,013
prize_pre_3digits,013
prize_pre_3digits,013
prize_sub_3digits,013
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_2digits,13
prize_pre_3digits,014
prize_pre_3digits,014
prize_pre_3digits,014
prize_pre_3digits,014
prize_sub_3digits,014
prize_sub_3digits,014
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_2digits,14
prize_pre_3digits,015
prize_pre_3digits,015
prize_pre_3digits,015
prize_pre_3digits,015
prize_sub_3digits,015
prize_sub_3digits,015
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,15
prize_2digits,16
prize_2digits,16
prize_2digits,16
prize_2digits,16
prize_2digits,16
prize_2digits,16
prize_pre_3digits,017
prize_pre_3digits,017
prize_sub_3digits,017
prize_sub_3digits,017
prize_sub_3digits,017
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_2digits,17
prize_pre_3digits,018
prize_pre_3digits,018
prize_pre_3digits,018
prize_sub_3digits,018
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_2digits,18
prize_pre_3digits,019
prize_pre_3digits,019
prize_pre_3digits,019
